address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H,p2sh,10451.02325139,32223.27350073,133,2111,641460,949267
1ANkDML9LtVv1E1EF7cwPFEkSv6Bpojwyt,p2pkh,10422.64638198,10422.64638198,3,3,924105,935755
19dNe9Xg6JWvszgU3NuM6TNd2wHmANPbHB,p2pkh,10259.96636602,36842.47781571,5,36,879262,949423
1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9,p2pkh,10216.72079225,0.00458349,1640,92,695362,950597
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,p2wpkh,10001.74322999,10001.74322999,60,60,695662,950597
1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,p2pkh,10000.02546567,0.00035440,87,48,490210,950597
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,p2pkh,10000.01069409,10000.01569409,46,47,761392,950597
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,p2pkh,10000.00864321,10000.01364321,37,38,761392,950597
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,p2pkh,10000.00774094,10000.01274094,37,38,761392,950597
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,p2pkh,10000.00767140,10000.01267140,37,38,761392,950597
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,p2pkh,10000.00732051,10000.01232051,38,39,761392,950597
1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewi,p2pkh,10000.00610239,10000.01110239,50,51,761392,950590
1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJ,p2pkh,10000.00601097,10000.01101097,40,41,761392,950590
1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5,p2pkh,10000.00591733,10000.01091733,39,40,761392,950597
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,p2pkh,10000.00590973,10000.01090973,34,35,761392,950597
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,p2pkh,10000.00347708,10000.00847708,48,49,761378,950590
1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,p2pkh,10000.00035561,7000.00029544,68,56,613369,950590
bc1qxkhwkn623l5lg4rx9vx8cujmleaga0eg6wc7p6,p2wpkh,9799.99220473,9799.99220473,11,11,872936,946353
bc1q9d5lq9psmkx9rtgewjgez7csg45faak2cccew8,p2wpkh,9725.00002724,9725.00202724,17,19,891141,946353
